timestamp_utc,BTC,ETH,SOL,XRP,DOGE,BNB,ADA,LINK,AVAX,DOT,MATIC,LTC
2026-06-23T06:35:25+00:00,62810,1686.46,69.95,1.11,0.080125,579.42,0.154439,7.67,6.11,0.91359,,43.82
2026-06-23T06:36:29+00:00,62825,1686.37,69.98,1.11,0.080143,579.37,0.15449,7.68,6.11,0.913807,,43.83
2026-06-23T06:37:30+00:00,62815,1686.19,70.01,1.11,0.080154,579.57,0.154508,7.68,6.11,0.913896,,43.85
2026-06-23T06:38:32+00:00,62824,1686.67,70.06,1.11,0.08022,579.91,0.154595,7.68,6.12,0.914552,,43.87
2026-06-23T06:39:37+00:00,62821,1686.6,70.08,1.11,0.080245,579.99,0.154619,7.68,6.12,0.914782,,43.89
2026-06-23T06:40:39+00:00,62821,1687.26,70.09,1.11,0.08025,579.91,0.154619,7.68,6.12,0.91482,,43.89
2026-06-23T06:41:44+00:00,62862,1689.11,70.11,1.11,0.080262,580.25,0.15463,7.69,6.13,0.914856,,43.9
2026-06-23T06:42:46+00:00,62873,1689.46,70.12,1.11,0.080266,580.28,0.154632,7.69,6.12,0.914883,,43.91
2026-06-23T06:43:47+00:00,62872,1688.97,70.12,1.11,0.080258,580.18,0.154646,7.69,6.12,0.915068,,43.9
2026-06-23T06:44:49+00:00,62852,1688.53,70.11,1.11,0.080236,579.97,0.154592,7.69,6.12,0.914818,,43.9
2026-06-23T06:53:07+00:00,BTC,62874.00,0.0000,-1.5939
2026-06-23T06:53:07+00:00,ETH,1689.74,0.0000,-2.4266
2026-06-23T06:53:07+00:00,SOL,70.21,0.0000,-4.6275
2026-06-23T06:53:07+00:00,XRP,1.11,0.0000,-1.5722
2026-06-23T06:53:07+00:00,DOGE,0.08,0.0000,-3.5233
2026-06-23T07:16:07+00:00,62955,1692.19,70.42,1.11,0.080215,581.4,0.155341,7.71,6.2,0.911206,,43.94
2026-06-23T07:17:19+00:00,62943,1691.76,70.41,1.11,0.080214,581.24,0.155371,7.71,6.2,0.911071,,43.94
2026-06-23T07:18:27+00:00,62948,1691.92,70.39,1.11,0.080215,581.27,0.155414,7.71,6.2,0.911174,,43.95
2026-06-23T07:19:34+00:00,62941,1691.77,70.38,1.11,0.080222,581.28,0.155431,7.71,6.2,0.911151,,43.97
2026-06-23T07:20:42+00:00,62940,1691.76,70.37,1.11,0.080223,581.28,0.155444,7.71,6.2,0.911137,,43.97
2026-06-23T07:21:49+00:00,62992,1693.12,70.39,1.11,0.080255,581.65,0.155476,7.71,6.19,0.911015,,43.97
2026-06-23T07:22:59+00:00,63004,1693.76,70.4,1.11,0.080271,581.84,0.155404,7.71,6.19,0.911093,,43.98
2026-06-23T07:24:08+00:00,62997,1693.57,70.46,1.12,0.080316,581.87,0.155397,7.71,6.2,0.911443,,43.98
2026-06-23T07:25:15+00:00,62979,1692.86,70.45,1.12,0.080322,581.81,0.155388,7.71,6.2,0.911361,,43.98
2026-06-23T07:26:23+00:00,62963,1692.19,70.43,1.12,0.08031,581.6,0.155384,7.71,6.2,0.911317,,43.97
2026-06-23T07:32:27+00:00,BTC,62937.00,0.0000,-1.9994
2026-06-23T07:32:27+00:00,ETH,1690.55,0.0000,-3.1961
2026-06-23T07:32:27+00:00,SOL,70.35,0.0000,-5.2089
2026-06-23T07:32:27+00:00,XRP,1.11,0.0000,-1.9101
2026-06-23T07:32:27+00:00,DOGE,0.08,0.0000,-3.8829
2026-06-23T11:44:21+00:00,BTC,62506.00,0.0000,-3.1220
2026-06-23T11:44:21+00:00,ETH,1659.14,0.0000,-5.7911
2026-06-23T11:44:21+00:00,SOL,69.17,0.0000,-6.7163
2026-06-23T11:44:21+00:00,XRP,1.11,0.0000,-3.3289
2026-06-23T11:44:21+00:00,DOGE,0.08,0.0000,-5.6360
2026-06-23T14:13:19+00:00,62447,1659.57,69.21,1.1,0.079414,574.48,0.15109,7.6,6.29,0.904786,,43.23
2026-06-23T14:14:27+00:00,62479,1660.46,69.22,1.1,0.079424,574.65,0.151111,7.6,6.3,0.905087,,43.23
2026-06-23T14:15:30+00:00,62534,1662.26,69.26,1.1,0.079441,574.97,0.151178,7.61,6.32,0.905872,,43.24
2026-06-23T14:16:34+00:00,62603,1663.73,69.31,1.1,0.079539,575.42,0.151478,7.62,6.33,0.907205,,43.27
2026-06-23T14:17:38+00:00,62675,1666.36,69.33,1.1,0.079555,575.88,0.151593,7.62,6.34,0.907522,,43.27
2026-06-23T14:18:42+00:00,62694,1666.73,69.37,1.1,0.079574,575.91,0.151653,7.63,6.34,0.908021,,43.28
2026-06-23T14:19:50+00:00,62716,1666.6,69.42,1.11,0.079614,576.0,0.151754,7.64,6.35,0.908893,,43.3
2026-06-23T14:20:54+00:00,62735,1666.51,69.45,1.11,0.079625,576.03,0.151805,7.64,6.35,0.909203,,43.31
2026-06-23T14:21:57+00:00,62706,1665.46,69.46,1.11,0.079631,575.72,0.151832,7.64,6.35,0.909287,,43.33
2026-06-23T14:23:01+00:00,62641,1664.0,69.45,1.11,0.079615,575.42,0.151785,7.64,6.34,0.909158,,43.33
2026-06-23T14:24:21+00:00,62564,1660.65,69.41,1.11,0.079553,575.03,0.151707,7.64,6.33,0.908264,,43.3
2026-06-23T14:25:28+00:00,62546,1660.24,69.39,1.1,0.079523,574.93,0.151675,7.64,6.33,0.908005,,43.29
2026-06-23T14:26:32+00:00,62500,1659.11,69.34,1.1,0.079484,574.55,0.151653,7.63,6.33,0.907765,,43.28
2026-06-23T14:27:35+00:00,62455,1656.82,69.27,1.1,0.07943,574.21,0.151532,7.63,6.32,0.906596,,43.25
2026-06-23T14:28:39+00:00,62428,1657.68,69.22,1.1,0.079414,574.06,0.15149,7.62,6.32,0.906087,,43.22
2026-06-23T14:29:43+00:00,62446,1658.47,69.21,1.1,0.079392,574.24,0.151494,7.62,6.32,0.905721,,43.21
2026-06-23T14:30:50+00:00,62514,1660.41,69.18,1.1,0.079342,574.9,0.15152,7.62,6.32,0.905292,,43.2
2026-06-23T14:31:54+00:00,62515,1660.71,69.2,1.1,0.079347,574.98,0.151582,7.63,6.32,0.90551,,43.19
2026-06-23T14:32:58+00:00,62448,1659.49,69.17,1.1,0.079288,574.84,0.151495,7.62,6.32,0.905392,,43.18
2026-06-23T14:34:01+00:00,62441,1659.98,69.17,1.1,0.07925,574.65,0.151438,7.62,6.32,0.90496,,43.18
2026-06-23T14:35:23+00:00,62491,1661.62,69.17,1.1,0.079263,574.88,0.151508,7.63,6.32,0.904995,,43.17
2026-06-23T14:36:29+00:00,62488,1661.78,69.17,1.1,0.079278,574.78,0.15155,7.63,6.32,0.905376,,43.16
2026-06-23T14:37:33+00:00,62557,1664.59,69.27,1.1,0.079361,575.23,0.15176,7.64,6.32,0.905822,,43.2
2026-06-23T14:38:37+00:00,62638,1667.07,69.32,1.1,0.079408,575.64,0.151953,7.64,6.33,0.906288,,43.22
2026-06-23T14:39:41+00:00,62640,1667.04,69.32,1.1,0.079414,575.74,0.151963,7.64,6.33,0.906324,,43.23
2026-06-23T14:40:44+00:00,62554,1664.72,69.32,1.1,0.07941,575.27,0.151989,7.64,6.33,0.906272,,43.24
