timestamp_utc,tipo,accionable,event,end_date,n_brackets,suma_yes,suma_ask,suma_bid,gap_pct,profit_pct,roi_no_pct,liq_min,liq_total,rango_min,rango_max
2026-09-01T00:23:06+00:00,OVERROUND,False,Bitcoin price on September 5?,2026-09-05,9,1.117,1.474,0.76,-47.4,-49.4,-4.85,302.0,7167.0,68000,86000
2026-09-01T00:23:06+00:00,OVERROUND,False,Solana price on September 1?,2026-09-01,9,1.128,1.39,0.866,-39.0,-41.0,-3.61,233.0,13408.0,110,140
2026-09-01T00:34:13+00:00,OVERROUND,False,Solana price on September 4?,2026-09-04,9,4.184,8.268,0.1,-726.8,-728.8,-11.91,7.0,138.0,110,150
2026-09-01T00:34:13+00:00,OVERROUND,False,Solana price on September 3?,2026-09-03,9,4.0625,7.915,0.21,-691.5,-693.5,-10.81,15.0,225.0,110,150
2026-09-01T00:34:13+00:00,OVERROUND,False,Solana price on September 2?,2026-09-02,9,3.9025,7.743,0.062,-674.3,-676.3,-12.28,5.0,184.0,110,140
2026-09-01T00:34:13+00:00,OVERROUND,False,Solana price on September 5?,2026-09-05,9,3.3305,6.451,0.21,-545.1,-547.1,-10.81,10.0,242.0,110,150
2026-09-01T00:34:13+00:00,OVERROUND,False,Ethereum price on September 3?,2026-09-03,9,2.962,5.819,0.105,-481.9,-483.9,-11.86,79.0,1251.0,2100,3000
2026-09-01T00:34:13+00:00,OVERROUND,False,Solana price on September 6?,2026-09-06,9,1.6265,3.153,0.1,-215.3,-217.3,-11.91,77.0,1066.0,110,150
2026-09-01T00:34:13+00:00,OVERROUND,False,Ethereum price on September 2?,2026-09-02,9,1.8475,2.955,0.74,-195.5,-197.5,-5.08,83.0,2565.0,2000,2900
2026-09-01T00:34:13+00:00,OVERROUND,False,Ethereum price on September 4?,2026-09-04,9,1.443,2.795,0.091,-179.5,-181.5,-12.0,234.0,3393.0,2000,2900
2026-09-01T00:34:13+00:00,OVERROUND,False,Ethereum price on September 6?,2026-09-06,9,1.5845,2.729,0.44,-172.9,-174.9,-8.41,65.0,2325.0,2000,2900
2026-09-01T00:34:13+00:00,OVERROUND,False,Ethereum price on September 5?,2026-09-05,9,1.4545,2.485,0.424,-148.5,-150.5,-8.58,105.0,3330.0,2000,2900
2026-09-01T00:34:13+00:00,OVERROUND,False,Bitcoin price on September 6?,2026-09-06,9,1.25,2.074,0.256,-107.4,-109.4,-10.34,109.0,2210.0,70000,88000
2026-09-01T00:34:13+00:00,OVERROUND,False,Bitcoin price on September 4?,2026-09-04,9,1.1035,1.59,0.617,-59.0,-61.0,-6.48,354.0,5275.0,70000,88000
2026-09-01T00:34:13+00:00,OVERROUND,False,Bitcoin price on September 3?,2026-09-03,9,1.0955,1.505,0.686,-50.5,-52.5,-5.7,314.0,4781.0,72000,90000
2026-09-01T00:34:13+00:00,OVERROUND,False,Bitcoin price on September 5?,2026-09-05,9,1.117,1.474,0.76,-47.4,-49.4,-4.85,302.0,7167.0,68000,86000
2026-09-01T00:34:13+00:00,OVERROUND,False,Solana price on September 1?,2026-09-01,9,1.128,1.39,0.866,-39.0,-41.0,-3.61,233.0,13408.0,110,140
2026-09-01T00:45:21+00:00,OVERROUND,False,Solana price on September 4?,2026-09-04,9,4.184,8.268,0.1,-726.8,-728.8,-11.91,7.0,138.0,110,150
2026-09-01T00:45:21+00:00,OVERROUND,False,Solana price on September 3?,2026-09-03,9,4.0625,7.915,0.21,-691.5,-693.5,-10.81,15.0,225.0,110,150
2026-09-01T00:45:21+00:00,OVERROUND,False,Solana price on September 2?,2026-09-02,9,3.9025,7.743,0.062,-674.3,-676.3,-12.28,5.0,184.0,110,140
2026-09-01T00:45:21+00:00,OVERROUND,False,Solana price on September 5?,2026-09-05,9,3.3305,6.451,0.21,-545.1,-547.1,-10.81,10.0,242.0,110,150
2026-09-01T00:45:21+00:00,OVERROUND,False,Ethereum price on September 3?,2026-09-03,9,2.962,5.819,0.105,-481.9,-483.9,-11.86,79.0,1251.0,2100,3000
2026-09-01T00:45:21+00:00,OVERROUND,False,Solana price on September 6?,2026-09-06,9,1.6265,3.153,0.1,-215.3,-217.3,-11.91,77.0,1066.0,110,150
2026-09-01T00:45:21+00:00,OVERROUND,False,Ethereum price on September 2?,2026-09-02,9,1.8475,2.955,0.74,-195.5,-197.5,-5.08,83.0,2565.0,2000,2900
2026-09-01T00:45:21+00:00,OVERROUND,False,Ethereum price on September 4?,2026-09-04,9,1.443,2.795,0.091,-179.5,-181.5,-12.0,234.0,3393.0,2000,2900
2026-09-01T00:45:21+00:00,OVERROUND,False,Ethereum price on September 6?,2026-09-06,9,1.5845,2.729,0.44,-172.9,-174.9,-8.41,65.0,2325.0,2000,2900
2026-09-01T00:45:21+00:00,OVERROUND,False,Ethereum price on September 5?,2026-09-05,9,1.4545,2.485,0.424,-148.5,-150.5,-8.58,105.0,3330.0,2000,2900
2026-09-01T00:45:21+00:00,OVERROUND,False,Bitcoin price on September 6?,2026-09-06,9,1.25,2.074,0.256,-107.4,-109.4,-10.34,109.0,2210.0,70000,88000
2026-09-01T00:45:21+00:00,OVERROUND,False,Bitcoin price on September 4?,2026-09-04,9,1.1035,1.59,0.617,-59.0,-61.0,-6.48,354.0,5275.0,70000,88000
2026-09-01T00:45:21+00:00,OVERROUND,False,Bitcoin price on September 3?,2026-09-03,9,1.0955,1.505,0.686,-50.5,-52.5,-5.7,314.0,4781.0,72000,90000
2026-09-01T00:45:21+00:00,OVERROUND,False,Bitcoin price on September 5?,2026-09-05,9,1.117,1.474,0.76,-47.4,-49.4,-4.85,302.0,7167.0,68000,86000
2026-09-01T00:45:21+00:00,OVERROUND,False,Solana price on September 1?,2026-09-01,9,1.128,1.39,0.866,-39.0,-41.0,-3.61,233.0,13408.0,110,140
2026-09-01T00:56:32+00:00,OVERROUND,False,Solana price on September 4?,2026-09-04,9,4.184,8.268,0.1,-726.8,-728.8,-11.91,7.0,138.0,110,150
2026-09-01T00:56:32+00:00,OVERROUND,False,Solana price on September 3?,2026-09-03,9,4.0625,7.915,0.21,-691.5,-693.5,-10.81,15.0,225.0,110,150
2026-09-01T00:56:32+00:00,OVERROUND,False,Solana price on September 2?,2026-09-02,9,3.9025,7.743,0.062,-674.3,-676.3,-12.28,5.0,184.0,110,140
2026-09-01T00:56:32+00:00,OVERROUND,False,Solana price on September 5?,2026-09-05,9,3.3305,6.451,0.21,-545.1,-547.1,-10.81,10.0,242.0,110,150
2026-09-01T00:56:32+00:00,OVERROUND,False,Ethereum price on September 3?,2026-09-03,9,2.962,5.819,0.105,-481.9,-483.9,-11.86,79.0,1251.0,2100,3000
2026-09-01T00:56:32+00:00,OVERROUND,False,Solana price on September 6?,2026-09-06,9,1.6265,3.153,0.1,-215.3,-217.3,-11.91,77.0,1066.0,110,150
2026-09-01T00:56:32+00:00,OVERROUND,False,Ethereum price on September 2?,2026-09-02,9,1.8475,2.955,0.74,-195.5,-197.5,-5.08,83.0,2565.0,2000,2900
2026-09-01T00:56:32+00:00,OVERROUND,False,Ethereum price on September 4?,2026-09-04,9,1.443,2.795,0.091,-179.5,-181.5,-12.0,234.0,3393.0,2000,2900
2026-09-01T00:56:32+00:00,OVERROUND,False,Ethereum price on September 6?,2026-09-06,9,1.5845,2.729,0.44,-172.9,-174.9,-8.41,65.0,2325.0,2000,2900
2026-09-01T00:56:32+00:00,OVERROUND,False,Ethereum price on September 5?,2026-09-05,9,1.4545,2.485,0.424,-148.5,-150.5,-8.58,105.0,3330.0,2000,2900
2026-09-01T00:56:32+00:00,OVERROUND,False,Bitcoin price on September 6?,2026-09-06,9,1.25,2.074,0.256,-107.4,-109.4,-10.34,109.0,2210.0,70000,88000
2026-09-01T00:56:32+00:00,OVERROUND,False,Bitcoin price on September 4?,2026-09-04,9,1.1035,1.59,0.617,-59.0,-61.0,-6.48,354.0,5275.0,70000,88000
2026-09-01T00:56:32+00:00,OVERROUND,False,Bitcoin price on September 3?,2026-09-03,9,1.0955,1.505,0.686,-50.5,-52.5,-5.7,314.0,4781.0,72000,90000
2026-09-01T00:56:32+00:00,OVERROUND,False,Bitcoin price on September 5?,2026-09-05,9,1.117,1.474,0.76,-47.4,-49.4,-4.85,302.0,7167.0,68000,86000
2026-09-01T00:56:32+00:00,OVERROUND,False,Solana price on September 1?,2026-09-01,9,1.128,1.39,0.866,-39.0,-41.0,-3.61,233.0,13408.0,110,140
